Handle,ProductVersionType,Price,UnitCost,Barcodes,LowInventoryThreshold,BaseProductName,BaseProductPosName,ShortDescription,LongDescription,IsPublished,IsOrderable,MaxPerPersonOrderQty,ValidToDate,ProductCategories,RequirementCategories,RestrictionCategories,TaxCategories,Vendor
Vegetable Egg Drop Soup,Standard,2.99,,DBG00000416,,Vegetable Egg Drop Soup,VegEggDropSoup,Vegetable Egg Drop Soup,,true,false,,,Soups;,,,,
White Bean Chicken Chili,Standard,2.99,,DBG00000417,,White Bean Chicken Chili,WhtBeanChkChl,White Bean Chicken Chili,,true,false,,,Soups;,,,,
Bacon Turkey Ranch Wrap,Standard,3.25,,DBG00000011,,Bacon Turkey Ranch Wrap,BcnTrkyRnchWrap,Bacon Turkey Ranch Wrap,,true,false,,,Transit Entree;,,,,
Bang Bang Shrimp Wrap,Standard,4.25,,DBG00000418,,Bang Bang Shrimp Wrap,BangBangShrmpWr,Bang Bang Shrimp Wrap,,true,false,,,Transit Entree;,,,,
BBQ Chicken Tender and Cheddar Wrap,Standard,3.25,,DBG00000013,,BBQ Chicken Tender and Cheddar Wrap,BbqChkTndrChddr,BBQ Chicken Tender and Cheddar Wrap,,true,false,,,Transit Entree;,,,,
BLT Wrap,Standard,3.25,,DBG00000015,,BLT Wrap,Blt Wrap,BLT Wrap,,true,false,,,Transit Entree;,,,,
Buffalo Ranch Chicken Wrap,Standard,3.25,,DBG00000021,,Buffalo Ranch Chicken Wrap,BffRnch ChkWrap,Buffalo Ranch Chicken Wrap,,true,false,,,Transit Entree;,,,,
Buffalo Shrimp Wrap,Standard,4.25,,DBG00000419,,Buffalo Shrimp Wrap,BfflShrmpWrap,Buffalo Shrimp Wrap,,true,false,,,Transit Entree;,,,,
Caesar Salad,Standard,4.50,,DBG00000420,,Caesar Salad,Caesar Salad,Caesar Salad,,true,false,,,Transit Entree;,,,,
California Roll Sushi Cup,Standard,4.75,,DBG00000421,,California Roll Sushi Cup,ClfrnRollSshCup,California Roll Sushi Cup,,true,false,,,Transit Entree;,,,,
Caprese Pesto Sandwich,Standard,4.50,,DBG00000028,,Caprese Pesto Sandwich,CprsPstSand,Caprese Pesto Sandwich,,true,false,,,Transit Entree;,,,,
Caprese Sandwich on Ciabatta,Standard,4.50,,DBG00000422,,Caprese Sandwich on Ciabatta,CprsSandOnCbtt,Caprese Sandwich on Ciabatta,,true,false,,,Transit Entree;,,,,
"Cheese, Grapes, Cracker Pack",Standard,5.75,,DBG00000423,,"Cheese, Grapes, Cracker Pack",ChzGrpsCrckrPac,"Cheese, Grapes, Cracker Pack",,true,false,,,Transit Entree;,,,,
Chic Teri Salad,Standard,7.00,,DBG00000424,,Chic Teri Salad,Chic Teri Salad,Chic Teri Salad,,true,false,,,Transit Entree;,,,,
Chicken and Bacon Club on Pretzel R,Standard,4.50,,DBG00000425,,Chicken and Bacon Club on Pretzel R,ChkBcnClubOnPrt,Chicken and Bacon Club on Pretzel R,,true,false,,,Transit Entree;,,,,
Chicken Avocado Wrap,Standard,3.25,,DBG00000426,,Chicken Avocado Wrap,ChkAvoWrap,Chicken Avocado Wrap,,true,false,,,Transit Entree;,,,,
Chicken Bacon Ranch Sandwich,Standard,3.50,,DBG00000427,,Chicken Bacon Ranch Sandwich,SndBcnRanchSand,Chicken Bacon Ranch Sandwich,,true,false,,,Transit Entree;,,,,
Chicken Caesar Salad,Standard,6.50,,DBG00000428,,Chicken Caesar Salad,ChkCaesarSalad,Chicken Caesar Salad,,true,false,,,Transit Entree;,,,,
Chicken Caesar Wrap,Standard,3.25,,DBG00000039,,Chicken Caesar Wrap,Chk Caesar Wrap,Chicken Caesar Wrap,,true,false,,,Transit Entree;,,,,
Chicken Salad,Standard,4.00,,DBG00000429,,Chicken Salad,Chick Salad,Chicken Salad,,true,false,,,Transit Entree;,,,,
Chicken Salad on Brioche,Standard,4.50,,DBG00000043,,Chicken Salad on Brioche,Chk Sld Brch,Chicken Salad on Brioche,,true,false,,,Transit Entree;,,,,
Chicken Salad Sandwich,Standard,4.50,,DBG00000044,,Chicken Salad Sandwich,Chk Salad Sand,Chicken Salad Sandwich,,true,false,,,Transit Entree;,,,,
Chicken Salad Wrap,Standard,3.25,,DBG00000045,,Chicken Salad Wrap,Chk Salad Wrap,Chicken Salad Wrap,,true,false,,,Transit Entree;,,,,
Chicken Tender and Ranch Wrap,Standard,3.25,,DBG00000046,,Chicken Tender and Ranch Wrap,ChkTndrRnchWrap,Chicken Tender and Ranch Wrap,,true,false,,,Transit Entree;,,,,
Chicken Tender Caesar Wrap,Standard,3.25,,DBG00000047,,Chicken Tender Caesar Wrap,Chk Cae Wrap,Chicken Tender Caesar Wrap,,true,false,,,Transit Entree;,,,,
Chilled Spicy Dragon Noodle Salad,Standard,4.25,,DBG00000430,,Chilled Spicy Dragon Noodle Salad,ChlldSpcyDrgnNd,Chilled Spicy Dragon Noodle Salad,,true,false,,,Transit Entree;,,,,
Creamy Sriracha Cucumbers,Standard,4.00,,DBG00000431,,Creamy Sriracha Cucumbers,CrmySrrchCcmbrs,Creamy Sriracha Cucumbers,,true,false,,,Transit Entree;,,,,
FS Lent Hummus Pack,Standard,5.75,,DBG00000432,,FS Lent Hummus Pack,FsLentHmmsPack,FS Lent Hummus Pack,,true,false,,,Transit Entree;,,,,
Garden Salad,Standard,4.75,,DBG00000067,,Garden Salad,Garden Salad,Garden Salad,,true,false,,,Transit Entree;,,,,
Greek Cucumber Salad,Standard,4.00,,DBG00000433,,Greek Cucumber Salad,GrkCcmbrSld,Greek Cucumber Salad,,true,false,,,Transit Entree;,,,,
Guac & Chips Pack,Standard,4.00,,DBG00000434,,Guac & Chips Pack,Guac Chips Pack,Guac & Chips Pack,,true,false,,,Transit Entree;,,,,
Half Wrap Chips Combo,Standard,5.25,,DBG00000174,,Half Wrap Chips Combo,HalfWrapChpsCmb,Half Wrap Chips Combo,,true,false,,,Transit Entree;,,,,
Ham and Cheddar on Kaiser Roll,Standard,4.50,,DBG00000435,,Ham and Cheddar on Kaiser Roll,HamChddrOnKsrRo,Ham and Cheddar on Kaiser Roll,,true,false,,,Transit Entree;,,,,
Ham and Cheddar Sub,Standard,4.25,,DBG00000436,,Ham and Cheddar Sub,Ham Chd Sub,Ham and Cheddar Sub,,true,false,,,Transit Entree;,,,,
Ham and Cheese Croissant,Standard,4.50,,DBG00000072,,Ham and Cheese Croissant,Ham Chz Croi,Ham and Cheese Croissant,,true,false,,,Transit Entree;,,,,
Ham and Cheese Sandwich,Standard,4.50,,DBG00000073,,Ham and Cheese Sandwich,Ham Chz Sand,Ham and Cheese Sandwich,,true,false,,,Transit Entree;,,,,
Ham and Cheese Slider,Standard,4.50,,DBG00000074,,Ham and Cheese Slider,Ham Chz Slider,Ham and Cheese Slider,,true,false,,,Transit Entree;,,,,
Ham and Cheese Sub,Standard,4.50,,DBG00000075,,Ham and Cheese Sub,Ham Chz Sub,Ham and Cheese Sub,,true,false,,,Transit Entree;,,,,
Ham and Provolone Croissant,Standard,4.50,,DBG00000076,,Ham and Provolone Croissant,HP Croi,Ham and Provolone Croissant,,true,false,,,Transit Entree;,,,,
Ham and Swiss Pretzel Roll,Standard,4.50,,DBG00000077,,Ham and Swiss Pretzel Roll,HamSwssPrtzlRol,Ham and Swiss Pretzel Roll,,true,false,,,Transit Entree;,,,,
Ham and Swiss Wrap,Standard,3.25,,DBG00000078,,Ham and Swiss Wrap,Ham Swiss Wrap,Ham and Swiss Wrap,,true,false,,,Transit Entree;,,,,
"Hard Boiled Eggs, Cheese, Grapes, C",Standard,5.75,,DBG00000437,,"Hard Boiled Eggs, Cheese, Grapes, C",EggsChzGrapeBnt,"Hard Boiled Eggs, Cheese, Grapes, C",,true,false,,,Transit Entree;,,,,
Honey Mustard Chicken Tender Wrap,Standard,3.25,,"DBG00000081,DBG00000438",,Honey Mustard Chicken Tender Wrap,HonMstChkTenWrp,Honey Mustard Chicken Tender Wrap,,true,false,,,Transit Entree;,,,,
House-Roasted Turkey and Ham on Ciabatta,Standard,4.50,,DBG00000088,,House-Roasted Turkey and Ham on Ciabatta,HRTrkyHamCia,House-Roasted Turkey and Ham on Ciabatta,,true,false,,,Transit Entree;,,,,
Korean BBQ Beef Wrap,Standard,3.25,,DBG00000439,,Korean BBQ Beef Wrap,KrnBbqBeefWrap,Korean BBQ Beef Wrap,,true,false,,,Transit Entree;,,,,
"Pepperoni, Cheese, Grapes, and Crackers Pack",Standard,5.75,,DBG00000106,,"Pepperoni, Cheese, Grapes, and Crackers Pack",PepChzGrpsCrckr,"Pepperoni, Cheese, Grapes, and Crackers Pack",,true,false,,,Transit Entree;,,,,
Pesto Chicken Wrap,Standard,3.25,,DBG00000107,,Pesto Chicken Wrap,Pesto Chk Wrap,Pesto Chicken Wrap,,true,false,,,Transit Entree;,,,,
Pimento Cheese Sandwich,Standard,4.25,,DBG00000440,,Pimento Cheese Sandwich,PC Sand,Pimento Cheese Sandwich,,true,false,,,Transit Entree;,,,,
Protein Pack Combo,Standard,5.75,,DBG00000183,,Protein Pack Combo,Pro Pack Cmb,Protein Pack Combo,,true,false,,,Transit Entree;,,,,
Quick Pickled Cucumber Salad,Standard,4.00,,DBG00000441,,Quick Pickled Cucumber Salad,QckPckldCcmbrSl,Quick Pickled Cucumber Salad,,true,false,,,Transit Entree;,,,,
Ranch Chicken Tender Wrap,Standard,3.25,,DBG00000442,,Ranch Chicken Tender Wrap,RnchChkTndrWrap,Ranch Chicken Tender Wrap,,true,false,,,Transit Entree;,,,,
Remoulade Shrimp Wrap,Standard,4.25,,DBG00000443,,Remoulade Shrimp Wrap,RmldShrmpWrap,Remoulade Shrimp Wrap,,true,false,,,Transit Entree;,,,,
Sandwich Whole Fruit Combo,Standard,5.30,,DBG00000189,,Sandwich Whole Fruit Combo,SandWholeFrtCmb,Sandwich Whole Fruit Combo,,true,false,,,Transit Entree;,,,,
Sensation Cucumber Shakers,Standard,4.00,,DBG00000444,,Sensation Cucumber Shakers,SenCcmbrShkrs,Sensation Cucumber Shakers,,true,false,,,Transit Entree;,,,,
Sesame Cucumber Salad,Standard,4.00,,DBG00000445,,Sesame Cucumber Salad,SsmCcmbrSld,Sesame Cucumber Salad,,true,false,,,Transit Entree;,,,,
Shrimp Caesar Salad,Standard,7.50,,DBG00000446,,Shrimp Caesar Salad,ShrmpCsrSld,Shrimp Caesar Salad,,true,false,,,Transit Entree;,,,,
Snow Crab Salad with Honey Sriracha Mayo,Standard,4.50,,DBG00000447,,Snow Crab Salad with Honey Sriracha Mayo,SnowCrabSldHnyS,Snow Crab Salad with Honey Sriracha Mayo,,true,false,,,Transit Entree;,,,,
Spicy Shrimp Dragon Noodles,Standard,6.50,,DBG00000448,,Spicy Shrimp Dragon Noodles,SpcyShrmpDrgnNd,Spicy Shrimp Dragon Noodles,,true,false,,,Transit Entree;,,,,
Turkey and Cheddar Croissant,Standard,4.50,,DBG00000449,,Turkey and Cheddar Croissant,Turkey Chd Croi,Turkey and Cheddar Croissant,,true,false,,,Transit Entree;,,,,
Turkey and Cheddar Sub,Standard,4.50,,DBG00000450,,Turkey and Cheddar Sub,Turkey Chd Sub,Turkey and Cheddar Sub,,true,false,,,Transit Entree;,,,,
Turkey and Provolone Croissant,Standard,4.25,,DBG00000451,,Turkey and Provolone Croissant,TP Croi,Turkey and Provolone Croissant,,true,false,,,Transit Entree;,,,,
Turkey and Provolone Sandwich,Standard,4.50,,DBG00000141,,Turkey and Provolone Sandwich,TP Sand,Turkey and Provolone Sandwich,,true,false,,,Transit Entree;,,,,
Turkey and Swiss Pinwheel,Standard,4.50,,DBG00000452,,Turkey and Swiss Pinwheel,TrkySwssPnwhl,Turkey and Swiss Pinwheel,,true,false,,,Transit Entree;,,,,
Turkey and Swiss Sandwich,Standard,4.25,,DBG00000453,,Turkey and Swiss Sandwich,TurkeySwissSand,Turkey and Swiss Sandwich,,true,false,,,Transit Entree;,,,,
Turkey Club Croissant with Cheese,Standard,4.50,,DBG00000142,,Turkey Club Croissant with Cheese,Turk Club Croi,Turkey Club Croissant with Cheese,,true,false,,,Transit Entree;,,,,
Assorted Fresh Whole Fruit,Standard,1.25,,DBG00000003,,Assorted Fresh Whole Fruit,AsstFrshWhlFrt,Assorted Fresh Whole Fruit,,true,false,,,Transit Non-Entree;,,,,
Assorted Fresh-Cut Fruit,Standard,2.75,,DBG00000004,,Assorted Fresh-Cut Fruit,AsstFreshCutFrt,Assorted Fresh-Cut Fruit,,true,false,,,Transit Non-Entree;,,,,
Cheese Stick,Standard,2.00,,DBG00000454,,Cheese Stick,Chz Stick,Cheese Stick,,true,false,,,Transit Non-Entree;,,,,
Chobani Blueberry,Standard,2.10,,DBG00000455,,Chobani Blueberry,ChbnBlbrry,Chobani Blueberry,,true,false,,,Transit Non-Entree;,,,,
Chobani Strawberry,Standard,2.10,,DBG00000456,,Chobani Strawberry,Chobani Straw,Chobani Strawberry,,true,false,,,Transit Non-Entree;,,,,
Chocolate Chip Cookie Pudding Parfait,Standard,3.75,,DBG00000051,,Chocolate Chip Cookie Pudding Parfait,Choc Cook Pud,Chocolate Chip Cookie Pudding Parfait,,true,false,,,Transit Non-Entree;,,,,
Fruit and Vanilla Yogurt Parfait,Standard,3.75,,DBG00000066,,Fruit and Vanilla Yogurt Parfait,Van Yog Parf,Fruit and Vanilla Yogurt Parfait,,true,false,,,Transit Non-Entree;,,,,
House-Made Granola,Standard,0.30,,DBG00000085,,House-Made Granola,HM Granola,House-Made Granola,,true,false,,,Transit Non-Entree;,,,,
Hummus and Pita Chips,Standard,4.00,,DBG00000089,,Hummus and Pita Chips,HummusPitaChips,Hummus and Pita Chips,,true,false,,,Transit Non-Entree;,,,,
Mixed Berry and Vanilla Yogurt Cup,Standard,3.75,,DBG00000099,,Mixed Berry and Vanilla Yogurt Cup,MixBryVanlYog,Mixed Berry and Vanilla Yogurt Cup,,true,false,,,Transit Non-Entree;,,,,
Oreo® Chocolate Pudding Parfait,Standard,3.75,,DBG00000101,,Oreo® Chocolate Pudding Parfait,OreoPuddParf,Oreo® Chocolate Pudding Parfait,,true,false,,,Transit Non-Entree;,,,,
Strawberries and Cream Cup,Standard,3.30,,DBG00000130,,Strawberries and Cream Cup,StrwbrCrmCup,Strawberries and Cream Cup,,true,false,,,Transit Non-Entree;,,,,
Strawberry Yogurt and Mixed Berry Parfait,Standard,3.75,,DBG00000131,,Strawberry Yogurt and Mixed Berry Parfait,StrwYgrtMxdBrry,Strawberry Yogurt and Mixed Berry Parfait,,true,false,,,Transit Non-Entree;,,,,
Strawberry Yogurt and Strawberry Cup,Standard,3.75,,DBG00000132,,Strawberry Yogurt and Strawberry Cup,StrwYgrtStrwCup,Strawberry Yogurt and Strawberry Cup,,true,false,,,Transit Non-Entree;,,,,
String Cheese,Standard,1.25,,DBG00000133,,String Cheese,String Chz,String Cheese,,true,false,,,Transit Non-Entree;,,,,
Vietnamese Coffee with Caramel Boba,Standard,3.75,,DBG00000457,,Vietnamese Coffee with Caramel Boba,VietCoffWithCar,Vietnamese Coffee with Caramel Boba,,true,false,,,Transit Non-Entree;,,,,
Whole Dill Pickle,Standard,2.00,,DBG00000148,,Whole Dill Pickle,WholeDillPickle,Whole Dill Pickle,,true,false,,,Transit Non-Entree;,,,,
Brownie,Standard,2.50,,DBG00000458,,Brownie,Brownie,Brownie,,true,false,,,Trayed Desserts;,,,,
Chocolate Cake with Chocolate Frosting,Standard,3.75,,DBG00000459,,Chocolate Cake with Chocolate Frosting,ChocCakeChocFrs,Chocolate Cake with Chocolate Frosting,,true,false,,,Trayed Desserts;,,,,
Chocolate Cake with Vanilla Icing and Chocolate Ch,Standard,3.75,,DBG00000460,,Chocolate Cake with Vanilla Icing and Chocolate Ch,ChocCakeVnllIcn,Chocolate Cake with Vanilla Icing and Chocolate Ch,,true,false,,,Trayed Desserts;,,,,
Chocolate Chip Brookies,Standard,3.50,,DBG00000461,,Chocolate Chip Brookies,ChocChipBrks,Chocolate Chip Brookies,,true,false,,,Trayed Desserts;,,,,
Chocolate Chip Cookies,Standard,2.10,,DBG00000052,,Chocolate Chip Cookies,ChocChipCookies,Chocolate Chip Cookies,,true,false,,,Trayed Desserts;,,,,
Chocolate Pudding Cake,Standard,3.50,,DBG00000462,,Chocolate Pudding Cake,ChocPuddingCake,Chocolate Pudding Cake,,true,false,,,Trayed Desserts;,,,,
Cookie Sandwich,Standard,2.50,,DBG00000463,,Cookie Sandwich,Cookie Sand,Cookie Sandwich,,true,false,,,Trayed Desserts;,,,,
Mardi Gras King Cake,Standard,3.50,,DBG00000464,,Mardi Gras King Cake,MrdGrasKingCake,Mardi Gras King Cake,,true,false,,,Trayed Desserts;,,,,
Rice Krispie Treat,Standard,2.50,,DBG00000465,,Rice Krispie Treat,RiceKrspTrt,Rice Krispie Treat,,true,false,,,Trayed Desserts;,,,,
Sugar Cookies,Standard,2.10,,DBG00000466,,Sugar Cookies,Sugar Cookies,Sugar Cookies,,true,false,,,Trayed Desserts;,,,,
Assorted Powerade®,Standard,3.00,,DBG00000006,,Assorted Powerade®,Asst Powerade,Assorted Powerade®,,true,false,,,Vendor Beverages;,,,,
Core Power Chocolate,Standard,4.75,,DBG00000467,,Core Power Chocolate,Core Power Choc,Core Power Chocolate,,true,false,,,Vendor Beverages;,,,,
Core Power Strawberry,Standard,4.75,,DBG00000468,,Core Power Strawberry,CorePowerStraw,Core Power Strawberry,,true,false,,,Vendor Beverages;,,,,
Core Power Vanilla,Standard,4.75,,DBG00000469,,Core Power Vanilla,CorePwrVnll,Core Power Vanilla,,true,false,,,Vendor Beverages;,,,,
Juice Apple,Standard,3.25,,DBG00000470,,Juice Apple,Juice Apple,Juice Apple,,true,false,,,Vendor Beverages;,,,,
Juice Cranberry Grape,Standard,3.25,,DBG00000471,,Juice Cranberry Grape,JuicCranGrap,Juice Cranberry Grape,,true,false,,,Vendor Beverages;,,,,
Juice Orange,Standard,3.25,,DBG00000472,,Juice Orange,Juice Orange,Juice Orange,,true,false,,,Vendor Beverages;,,,,
Juice Pineapple Orange,Standard,3.25,,DBG00000473,,Juice Pineapple Orange,JuicPineOran,Juice Pineapple Orange,,true,false,,,Vendor Beverages;,,,,
MM Fruit Punch,Standard,3.00,,DBG00000474,,MM Fruit Punch,Mm Frt Punch,MM Fruit Punch,,true,false,,,Vendor Beverages;,,,,
MM Kiwi Straw,Standard,3.00,,DBG00000475,,MM Kiwi Straw,Mm Kiwi Straw,MM Kiwi Straw,,true,false,,,Vendor Beverages;,,,,
MM Lemonade,Standard,3.00,,DBG00000476,,MM Lemonade,Mm Lemonade,MM Lemonade,,true,false,,,Vendor Beverages;,,,,
MM Peach,Standard,3.00,,DBG00000477,,MM Peach,Mm Peach,MM Peach,,true,false,,,Vendor Beverages;,,,,
MM Pink Lemond,Standard,3.00,,DBG00000478,,MM Pink Lemond,Mm Pink Lemond,MM Pink Lemond,,true,false,,,Vendor Beverages;,,,,
MM Tropical,Standard,3.00,,DBG00000479,,MM Tropical,Mm Tropical,MM Tropical,,true,false,,,Vendor Beverages;,,,,
Peace Tea Caddy,Standard,2.95,,DBG00000480,,Peace Tea Caddy,Peace Tea Caddy,Peace Tea Caddy,,true,false,,,Vendor Beverages;,,,,
Peace Tea Peach,Standard,2.95,,DBG00000481,,Peace Tea Peach,Peace Tea Peach,Peace Tea Peach,,true,false,,,Vendor Beverages;,,,,
Peace Tea Raspberry,Standard,2.95,,DBG00000482,,Peace Tea Raspberry,PcTeaRspbrr,Peace Tea Raspberry,,true,false,,,Vendor Beverages;,,,,
Peace Tea Snoberry,Standard,2.95,,DBG00000483,,Peace Tea Snoberry,PcTeaSnbrry,Peace Tea Snoberry,,true,false,,,Vendor Beverages;,,,,
Powerade Berry Blast,Standard,3.00,,DBG00000484,,Powerade Berry Blast,PwrdBrryBlst,Powerade Berry Blast,,true,false,,,Vendor Beverages;,,,,
Powerade Fruit Punch,Standard,3.00,,DBG00000485,,Powerade Fruit Punch,PwrdFrtPnch,Powerade Fruit Punch,,true,false,,,Vendor Beverages;,,,,
Powerade Lemon Lime,Standard,3.00,,DBG00000486,,Powerade Lemon Lime,PwrdLmnLime,Powerade Lemon Lime,,true,false,,,Vendor Beverages;,,,,
Powerade Orange,Standard,3.00,,DBG00000487,,Powerade Orange,Pwrd Orange,Powerade Orange,,true,false,,,Vendor Beverages;,,,,
Powerade Water Mt Blue,Standard,3.25,,DBG00000488,,Powerade Water Mt Blue,PwrdWtrMtBlue,Powerade Water Mt Blue,,true,false,,,Vendor Beverages;,,,,
Powerade Water St Kiwi,Standard,3.25,,DBG00000489,,Powerade Water St Kiwi,PwrdWtrStKiwi,Powerade Water St Kiwi,,true,false,,,Vendor Beverages;,,,,
Powerade Water TropPA,Standard,3.25,,DBG00000490,,Powerade Water TropPA,PwrdWtrTrpp,Powerade Water TropPA,,true,false,,,Vendor Beverages;,,,,
Powerade Water WMelon,Standard,3.25,,DBG00000491,,Powerade Water WMelon,PwrdWtrWmln,Powerade Water WMelon,,true,false,,,Vendor Beverages;,,,,
Powerade Zero Berry,Standard,3.00,,DBG00000492,,Powerade Zero Berry,PwrdZeroBrry,Powerade Zero Berry,,true,false,,,Vendor Beverages;,,,,
Powerade Zero Grape,Standard,3.00,,DBG00000493,,Powerade Zero Grape,PwrdZeroGrp,Powerade Zero Grape,,true,false,,,Vendor Beverages;,,,,
Pure Life Water - 16.9 fl oz,Standard,1.60,,DBG00000494,,Pure Life Water - 16.9 fl oz,PureLifeWtr169F,Pure Life Water - 16.9 fl oz,,true,false,,,Vendor Beverages;,,,,
Pure Life Water - 23.7 fl oz,Standard,2.00,,DBG00000495,,Pure Life Water - 23.7 fl oz,PureLifeWtr237F,Pure Life Water - 23.7 fl oz,,true,false,,,Vendor Beverages;,,,,
Sparkling Ice Black Rasp,Standard,3.00,,DBG00000496,,Sparkling Ice Black Rasp,Sprk Ice Blck,Sparkling Ice Black Rasp,,true,false,,,Vendor Beverages;,,,,
Sparkling Ice Kiwi Straw,Standard,3.00,,DBG00000497,,Sparkling Ice Kiwi Straw,Sprk Ice KiwiSt,Sparkling Ice Kiwi Straw,,true,false,,,Vendor Beverages;,,,,
VW Acai Bl Pom,Standard,4.00,,DBG00000498,,VW Acai Bl Pom,Vw Acai Bl Pom,VW Acai Bl Pom,,true,false,,,Vendor Beverages;,,,,
VW Dragon Fruit,Standard,4.00,,DBG00000499,,VW Dragon Fruit,Vw Dragon Frt,VW Dragon Fruit,,true,false,,,Vendor Beverages;,,,,
VW Kiwi Strawberry,Standard,4.00,,DBG00000500,,VW Kiwi Strawberry,Vw Kiwi Straw,VW Kiwi Strawberry,,true,false,,,Vendor Beverages;,,,,
VW lemonade,Standard,4.00,,DBG00000501,,VW lemonade,Vw Lemonade,VW lemonade,,true,false,,,Vendor Beverages;,,,,
VW Tropical Energy,Standard,4.00,,DBG00000502,,VW Tropical Energy,VwTrpclEnrgy,VW Tropical Energy,,true,false,,,Vendor Beverages;,,,,
VW Zero Acai Bl Pom,Standard,4.00,,DBG00000503,,VW Zero Acai Bl Pom,VwZeroAcaiBlPom,VW Zero Acai Bl Pom,,true,false,,,Vendor Beverages;,,,,
